index,timestamp,x,y,z,Qx,Qy,Qz,Qw
0,1722943138.868439,0.068137,-0.015630,0.221261,0.011251,0.019376,0.022170,0.999503
1,1722943139.135456,0.063035,-0.011601,0.318852,-0.003902,-0.029638,0.018017,0.999391
2,1722943139.669735,0.059017,-0.007264,0.114390,0.000824,-0.027130,0.007067,0.999607
3,1722943140.203784,0.035479,0.000587,-0.087559,0.015204,-0.012453,-0.002390,0.999804
4,1722943141.672724,0.015377,0.283467,-0.057257,0.041965,0.002982,-0.020485,0.998905
5,1722943142.473834,0.040859,-0.223143,-0.038065,-0.002905,0.002997,0.054592,0.998500
6,1722943142.741016,0.046803,-0.271073,-0.037927,-0.006027,0.000729,0.035808,0.999340
7,1722943143.408481,0.029620,0.076056,-0.058753,0.039494,0.000273,-0.027746,0.998834
8,1722943143.809180,0.033495,0.291081,-0.041526,0.067533,0.024582,-0.075192,0.994576
9,1722943144.209652,0.045890,0.267124,-0.051600,0.066097,0.005451,-0.050444,0.996522
10,1722943144.610806,0.042838,0.022934,-0.076681,0.029407,-0.015199,0.027241,0.999081
11,1722943144.877336,0.037442,-0.154309,-0.067020,-0.034818,-0.007147,0.016693,0.999229
12,1722943145.144219,0.032876,-0.225280,-0.062435,-0.048941,-0.008737,-0.002508,0.998760
13,1722943145.678968,0.046953,-0.056918,-0.077112,0.006872,-0.013817,0.001644,0.999880
14,1722943146.079612,0.044401,0.042952,-0.076270,0.025347,-0.002854,0.008904,0.999635
15,1722943146.479661,0.097550,0.063231,-0.073849,0.028476,0.033459,-0.004978,0.999022
16,1722943146.746966,0.234083,0.051360,-0.027141,0.027504,-0.003325,-0.023269,0.999345
17,1722943147.013854,0.321647,0.052071,0.001643,0.038717,-0.023829,-0.005895,0.998949
18,1722943147.414257,0.206293,0.054495,-0.030152,0.021016,0.000861,0.003944,0.999771
19,1722943147.681308,0.069573,0.059737,-0.054755,0.003630,0.020665,-0.011277,0.999716
